"PlantNumber","Taxon","Vernacular","BgLocation","GardenGrid","GardenSubGrid","BgLatitude","BgLongitude","genus","species"
"200-2017*2","Tilia americana 'McKSentry'","American Basswood","East Tilia","Q-91","67-68",41.816041,-88.054501,"Tilia","americana"
"34-2004*3","Tilia americana var. heterophylla 'Continental Appeal'","Continental Appeal White Basswood","East Tilia","P-89","57-24",41.815715,-88.055381,"Tilia","americana"
"187-2017*2","Tilia cordata 'Greenspire'","Greenspire lttle-leaved linden","East Tilia","P-91","95-70",41.815844,-88.054483,"Tilia","cordata"
"211-2012*1","Tilia americana 'Boulevard'","Boulevard American Basswood","East Tilia","O-88","13-47",41.815312,-88.055646,"Tilia","americana"
"202-2017*1","Tilia americana 'Redmond'","Redmond American Basswood","East Tilia","Q-91","17-91",41.815904,-88.054409,"Tilia","americana"
"154-2011*1","Tilia cordata 'Unizam'","Little-leaved Linden","East Tilia","L-86","61-98",41.814608,-88.056161,"Tilia","cordata"
"34-2004*2","Tilia americana var. heterophylla 'Continental Appeal'","Continental Appeal White Basswood","East Tilia","P-87","27-56",41.815617,-88.055993,"Tilia","americana"
"200-2017*1","Tilia americana 'McKSentry'","American Basswood","East Tilia","Q-91","65-37",41.81603,-88.054613,"Tilia","americana"
"202-2017*2","Tilia americana 'Redmond'","Redmond American Basswood","East Tilia","Q-91","48-89",41.815989,-88.05442,"Tilia","americana"
"187-2017*1","Tilia cordata 'Greenspire'","Greenspire lttle-leaved linden","East Tilia","P-91","93-41",41.815833,-88.05459,"Tilia","cordata"
"153-2011*1","Tilia cordata 'Corzam'","Little-leaved Linden","East Tilia","L-86","48-64",41.814569,-88.056284,"Tilia","cordata"
"1359-56*1","Tilia cordata","Little-leaved Linden","Tilia","W-56","80-35",41.817393,-88.067523,"Tilia","cordata"
"1435-24*1","Tilia americana 'Dentata'","Large-toothed American Basswood","Tilia","Z-52","90-40",41.818206,-88.069009,"Tilia","americana"
"567-32*3","Tilia americana var. americana","American Basswood","Tilia","Y-56","90-10",41.817966,-88.067641,"Tilia","americana"
"581-54*1","Tilia americana var. caroliniana","Carolina Basswood","Tilia","X-56","75-70",41.817656,-88.067407,"Tilia","americana"
"159-45*2","Tilia cordata","Little-leaved Linden","Tilia","X-56","15-35",41.817489,-88.067528,"Tilia","cordata"
"267-64*2","Tilia cordata 'Greenspire'","Greenspire lttle-leaved linden","Tilia","Z-51","35-35",41.818045,-88.069387,"Tilia","cordata"
"579-54*2","Tilia americana 'Dentata'","Large-toothed American Basswood","Tilia","Z-53","90-35",41.818215,-88.068661,"Tilia","americana"
"152-81*3","Tilia cordata","Little-leaved Linden","Tilia","AA-53","16-97",41.818292,-88.068437,"Tilia","cordata"
"225-79*6","Tilia americana","American Basswood","Tilia","Z-54","83-64",41.818208,-88.068187,"Tilia","americana"
"850-55*2","Tilia americana var. americana","American Basswood","Tilia","Y-56","45-45",41.817846,-88.067507,"Tilia","americana"
"159-45*3","Tilia cordata","Little-leaved Linden","Tilia","X-56","50-40",41.817585,-88.067514,"Tilia","cordata"
"1439-24*2","Tilia americana var. americana","American Basswood","Tilia","Z-51","85-80",41.818187,-88.069228,"Tilia","americana"
"1040-65*2","Tilia tomentosa","Silver Linden","Tilia","X-57","30-75",41.817543,-88.067016,"Tilia","tomentosa"
"131-40*4","Tilia tomentosa","Silver Linden","Tilia","U-54","45-50",41.816731,-88.068173,"Tilia","tomentosa"
"821-37*1","Tilia americana var. americana","American Basswood","Tilia","W-56","15-60",41.817217,-88.067424,"Tilia","americana"
"850-55*1","Tilia americana var. americana","American Basswood","Tilia","X-56","95-30",41.817707,-88.067556,"Tilia","americana"
"2122-23*1","Tilia americana var. americana","American Basswood","Tilia","Z-54","20-30",41.818032,-88.068304,"Tilia","americana"
"159-45*1","Tilia cordata","Little-leaved Linden","Tilia","W-56","45-25",41.817296,-88.067556,"Tilia","cordata"
